name,start,fullbloom
Fukuoka,2021-03-12,2021-03-22
Saga,2021-03-17,2021-03-24
Nagasaki,2021-03-14,2021-03-23
Kumamoto,2021-03-17,2021-03-27
Oita,2021-03-18,2021-03-30
Miyazaki,2021-03-16,2021-03-29
Kagoshima,2021-03-17,2021-03-30
Hiroshima,2021-03-11,2021-03-25
Tottori,2021-03-19,2021-03-29
Matsue,2021-03-14,2021-03-27
Okayama,2021-03-20,2021-03-29
Shimonoseki,2021-03-16,2021-03-26
Tokushima,2021-03-25,2021-04-01
Takamatsu,2021-03-15,2021-03-27
Matsuyama,2021-03-15,2021-03-27
Kochi,2021-03-15,2021-03-23
Osaka,2021-03-19,2021-03-28
Kyoto,2021-03-16,2021-03-26
Hikone,2021-03-22,2021-03-30
Kobe,2021-03-24,2021-03-30
Nara,2021-03-21,2021-03-30
Wakayama,2021-03-18,2021-03-27
Niigata,2021-03-29,2021-03-31
Toyama,2021-03-24,2021-03-28
Kanazawa,2021-03-23,2021-03-29
Fukui,2021-03-22,2021-03-27
Nagoya,2021-03-17,2021-03-28
Gifu,2021-03-16,2021-03-27
Shizuoka,2021-03-20,2021-03-28
Tsu,2021-03-20,2021-03-25
Kofu,2021-03-18,2021-03-29
Nagano,2021-03-29,2021-04-01
Tokyo,2021-03-14,2021-03-22
Mito,2021-03-20,2021-03-30
Utsunomiya, March 20,2021-03-31
Maebashi, March 21,2021-03-28
Kumagaya, March 19,2021-03-29
Choshi, March 22,2021-03-28
Yokohama,2021-03-17,2021-03-27
Aomori,2021-04-15,2021-04-19
Morioka,2021-04-07,2021-04-14
Sendai,2021-03-28,2021-03-31
Akita,2021-04-09,2021-04-13
Yamagata,2021-04-05,2021-04-09
Fukushima,2021-03-25,2021-03-29
Sapporo,2021-04-24,2021-04-28
Muroran,2021-04-28,2021-05-04
Hakodate,2021-04-21,2021-04-25
